date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:14:36	81/81	---MCZ	200	added ('OK')	text/plain	etag:W/%2267a7e82a-41%22	https://d2s9.org/robots.txt		(from )
20:14:36	27962/27962	---MCZ	200	added ('OK')	text/html	date:Sat,%2008%20Feb%202025%2023:26:34%20GMT	https://d2s9.org/	C:/Users/jonas/Desktop/WEBSITEs/d2/d2s9.org/index.html	(from )
20:14:37	162/162	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2006%20Mar%202025%2018:14:39%20GMT	https://www.d2s9.org/img/banner.jpg	C:/Users/jonas/Desktop/WEBSITEs/d2/www.d2s9.org/img/banner.0.delayed	(from https://d2s9.org/)
20:14:38	143929/143929	---M--	200	added ('OK')	image/jpeg	etag:%2267a7e82a-23239%22	https://d2s9.org/img/banner.jpg	C:/Users/jonas/Desktop/WEBSITEs/d2/d2s9.org/img/banner.jpg	(from https://d2s9.org/)
20:14:38	24953/24953	---M--	200	added ('OK')	image/png	etag:%2267a7e82a-6179%22	https://d2s9.org/img/apple-touch-icon.png	C:/Users/jonas/Desktop/WEBSITEs/d2/d2s9.org/img/apple-touch-icon.png	(from https://d2s9.org/)
20:14:38	1569/1569	---M--	200	added ('OK')	image/png	etag:%2267a7e82a-621%22	https://d2s9.org/img/favicon-32x32.png	C:/Users/jonas/Desktop/WEBSITEs/d2/d2s9.org/img/favicon-32x32.png	(from https://d2s9.org/)
20:14:38	775/775	---M--	200	added ('OK')	image/png	etag:%2267a7e82a-307%22	https://d2s9.org/img/favicon-16x16.png	C:/Users/jonas/Desktop/WEBSITEs/d2/d2s9.org/img/favicon-16x16.png	(from https://d2s9.org/)
20:14:39	9379/9379	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2006%20Mar%202025%2018:14:40%20GMT	https://d2s9.org/site.webmanifest	C:/Users/jonas/Desktop/WEBSITEs/d2/d2s9.org/site.webmanifest	(from https://d2s9.org/)
20:14:39	9379/9379	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2006%20Mar%202025%2018:14:41%20GMT	https://d2s9.org/lib/magnific-popup/magnific-popup.css	C:/Users/jonas/Desktop/WEBSITEs/d2/d2s9.org/lib/magnific-popup/magnific-popup.css	(from https://d2s9.org/)
20:14:39	64881/64881	---M-Z	200	added ('OK')	text/css	etag:W/%2267a7e82a-fd71%22	https://d2s9.org/css/styles.css	C:/Users/jonas/Desktop/WEBSITEs/d2/d2s9.org/css/styles.css	(from https://d2s9.org/)
20:14:39	27962/27962	---MCZ	200	added ('OK')	text/html	date:Sat,%2008%20Feb%202025%2023:26:34%20GMT	https://d2s9.org/index.html	C:/Users/jonas/Desktop/WEBSITEs/d2/d2s9.org/index-2.html	(from https://d2s9.org/)
20:14:40	24972/24972	---M--	200	added ('OK')	image/png	etag:%2267a7e82a-618c%22	https://d2s9.org/img/logo.png	C:/Users/jonas/Desktop/WEBSITEs/d2/d2s9.org/img/logo.png	(from https://d2s9.org/)
20:14:40	24447/24447	---MCZ	200	added ('OK')	text/html	date:Sat,%2008%20Feb%202025%2023:26:34%20GMT	https://d2s9.org/about.html	C:/Users/jonas/Desktop/WEBSITEs/d2/d2s9.org/about.html	(from https://d2s9.org/)
20:14:40	24850/24850	---MCZ	200	added ('OK')	text/html	date:Sat,%2008%20Feb%202025%2023:26:34%20GMT	https://d2s9.org/commands.html	C:/Users/jonas/Desktop/WEBSITEs/d2/d2s9.org/commands.html	(from https://d2s9.org/)
20:14:41	24737/24737	---MCZ	200	added ('OK')	text/html	date:Sat,%2008%20Feb%202025%2023:26:34%20GMT	https://d2s9.org/community.html	C:/Users/jonas/Desktop/WEBSITEs/d2/d2s9.org/community.html	(from https://d2s9.org/)
20:14:41	14750/14750	---MCZ	200	added ('OK')	text/html	date:Sat,%2008%20Feb%202025%2023:26:34%20GMT	https://d2s9.org/donation.html	C:/Users/jonas/Desktop/WEBSITEs/d2/d2s9.org/donation.html	(from https://d2s9.org/)
20:14:41	745318/745318	---M--	200	added ('OK')	image/png	etag:%2267a7e82a-b5f66%22	https://d2s9.org/img/slider/spawn-370.png	C:/Users/jonas/Desktop/WEBSITEs/d2/d2s9.org/img/slider/spawn-370.png	(from https://d2s9.org/)
20:14:43	591/591	---M--	200	added ('OK')	image/png	etag:%2267a7e82a-24f%22	https://d2s9.org/img/ceo-head.png	C:/Users/jonas/Desktop/WEBSITEs/d2/d2s9.org/img/ceo-head.png	(from https://d2s9.org/)
20:14:43	92629/92629	---M-Z	200	added ('OK')	application/javascript	etag:W/%2267a7e82a-169d5%22	https://d2s9.org/js/jquery-1.9.1.min.js	C:/Users/jonas/Desktop/WEBSITEs/d2/d2s9.org/js/jquery-1.9.1.min.js	(from https://d2s9.org/)
